example_id,conversation_id,customer_text,current_label,predicted_intent,selection_method,human_label,human_notes
golden_0023,amazonhelp_062697,@119356 @115821 - suggestion - add d option 2 filter products basis their EDD. Wil help clients when looking for gifting options. @AmazonHelp Thanks but can't find it in the app. Customer service rep also denied of this feature. Pls help. @AmazonHelp Is this feature available in Amazon India app? @119356 @AmazonHelp How can I find out for which products it's avlbl?,,DEVICE_ISSUE,random_core,,
golden_0024,amazonhelp_106734,@115821 Do you hire delivery people who can read? Just received these 2 packages. Well over 30 misdelivered packages! 😠 https://t.co/xZoLNKidcE,,OTHER,random_core,,
golden_0025,amazonhelp_141479,"Hello Amazon team ,please reply to my tweets, i want the refund to be processed for my order asap.. i have contacted Amazon customer service but executive could not help i can't wait for pick up. Refund the money @AmazonHelp I have already placed request for the same.. I want refund first. I am highly disappointed with Amazon. Ready to return but refund first. @AmazonHelp You are handling tweeter.. check everything yourself ban the seller it will spoil your business and customer expectations from AMAZON. Refund my Amazon pay balance. @AmazonHelp Is the seller banned from the Amazon?? What feedback did you share and how I will know that action has been taken on the seller ??? What if I face such experience next time ??",,ORDER_STATUS,random_core,,
golden_0026,amazonhelp_056024,"@115851 @115821 @115850 @AmazonHelp I am writing about the issues in the delivery of products but no solutions till time. @115851 @115821 @115850 @AmazonHelp It has been 3rd day in a row. More than 48 hours has already passed. Neither product nor it's confirmation has been reached to customer. @115851 @115821 @115850 @AmazonHelp Details has already been shared with all the concerned. Please acknowledge me with a fixed date &amp; time slot for the delivery of products. @AmazonHelp Another product from same Order is still missing from last 02 days. Please find that too. For every product, can't wait for another 50 hours @AmazonHelp I have already the mails that I have received. But still one product is missing related to the same Order No @AmazonHelp Part of the Order is still pending as mentioned in mail too. I have reverted the same via email in the morning but still it's pending @AmazonHelp How much time is required to deliver contents of a single Order? I have asked via email &amp; Twitter to please update me about the Fixed Date @AmazonHelp Again I have received an SMS. "" Product undelivered"". What to do know?? Any other process to follow that was not touched in last 03 days",,DELIVERY_LATE,random_core,,
golden_0027,amazonhelp_009770,"@115821 @115850  Fake Seller Alert, see the video 2 knw how sellers are duping customers https://t.co/s2d9ucl1DZ @AmazonHelp No resolution received yet! @AmazonHelp Yes Sir! It's been 3 days! https://t.co/VDZaG3sSts @AmazonHelp I understand you guys are following up but it's already 72 hours past your initial timeline of 48-72 hours! Let me know a proper time line!",,PRODUCT_ISSUE,random_core,,
golden_0028,amazonhelp_105685,@AmazonHelp  living in belgium I can pick amazon.de or .fr for a prime membership.  Is the movie / series selection and choice of languages based on my location or the country prime membership (.de or .fr) that I would pick? thanks,,VIDEO_STREAMING,random_core,,
golden_0029,amazonhelp_049365,@118919 return policies are awful not replacing the product after so many calls,,RETURN_REQUEST,random_core,,
golden_0030,amazonhelp_050441,"I think the @115821 Customer Service Reps that I spoke with today deserve a shout out. 
So: 
Thank you Kris and Austin for the wonderful service, I really appreciate it.",,OTHER,random_core,,
golden_0031,amazonhelp_043924,"After a back injury, Day created a DIY stand-up desk. But she didn't stop there. Become an entrepreneur on Amazon: https://t.co/RAcGOKx5Nn https://t.co/nrXr7kNTw3 @115821 Hi I want to ask you, I have two shipments from Amazon. I lost a month and until now they have returned my money to the Visa and do not replace it @AmazonHelp I contact with them many time but no benefit answer :(",,RETURN_REQUEST,random_core,,
golden_0032,amazonhelp_082949,"@AmazonHelp 5 times this month deliveries have been delayed does prime mean nothing now 
One was ment to be here today 17th now says 17th-22nd @AmazonHelp It's been by yourselves and carrias an no just keep getting told it's in transit that's all @AmazonHelp Yes and just keep getting told it's in transit and sorry for the delay @AmazonHelp Parcel arrived at a carrier facility 
Liverpool, GB
But when inquiring this morning why it says 17th 22nd they said it's still in transit @AmazonHelp I've been told it's being investigated so it won't happen in future but next order it happens again and again as I don't get no feel back from the investigation feel like it's just a way to get me off the phone or chat @AmazonHelp Might of been 7th sorry as a phone case was late",,DELIVERY_LATE,random_core,,
golden_0033,amazonhelp_082677,Hey @115850 this shoe costs 1499/- across all sizes in Decathlon stores so stop cheating and increasing the price for larger sizes. https://t.co/gtvFGVYXi1,,OTHER,random_core,,
golden_0034,amazonhelp_040590,@115850 Why there is no return option for laptop when product is not as described (Display resolution only issue) @AmazonHelp Already done..Only exchange request generated..not return..Exchange will not help as all same model will have same HD display instead of FHD @AmazonHelp Please check return policy again. Return is possible if product is different from what was ordered. isn't it ? @AmazonHelp what about case when product is not as described ? Please clarify. @AmazonHelp Same laptop model does not have 2 different display :). Replaced laptop will again have same issue.,,RETURN_REQUEST,random_core,,
golden_0035,amazonhelp_021829,@115821 useless at sorting out my account out had issues since Friday and still not sorted. Selling items that are not even mine. @AmazonHelp No options they are saying it is being given the highest priority. Can despatch my own orders as German items taken over 476 items to despatch. @AmazonHelp Already have done every day since Friday. Unhappy customers,,OTHER,random_core,,
golden_0036,amazonhelp_041193,"@115850 The expected day of delivery was 16th of October. I've not received the order yet, nor am I able to track down the same",,OTHER,random_core,,
golden_0037,amazonhelp_113663,@AmazonHelp I sent u private message yesterday.  Can u resolve the a-z harm to me from the repeated fraud perpetrated on your platform?,,OTHER,random_core,,
golden_0038,amazonhelp_115436,"@AmazonHelp @115821 
When ll I get my pkt? I am very sad in this rare courier service.
Courier

Delhivery
Tracking
5180766190762",,DELIVERY_TRACKING,random_core,,
golden_0039,amazonhelp_123856,@AmazonHelp Somehow someone logged into my account and changed the email associated without you guys checking it was me? My info is on there @AmazonHelp I can't receive emails because someone went into my account and changed the email that controls it @AmazonHelp Thank you for the help. My account is back under my ownership,,ACCOUNT_ACCESS,random_core,,
golden_0040,amazonhelp_016160,"If you order s.th. from https://t.co/bpWxwQ9S7x it is delivered to Germany within 1-2 days, with amazon.de within Germany 3-4 days. If you order with https://t.co/5ykkycXlgI in USA for a friend in the USA it takes 10 days or isn't delivered at all. @AmazonHelp",,OTHER,random_core,,
